"source" "journal" "statcheck_journal" "year_published" "date_received" "period" "nr_nhst" "nr_errors" "nr_dec_errors" "perc_errors" "perc_dec_errors"
"Common Ground and Cultural Prominence" "PS" 1 2009 2008-05-26 0 8 1 0 12.5 0
"Communal narcissism  EBSCOhost" "JPSP" 0 2012 2011-11-11 0 53 31 2 58.49 3.77
"Communicating Shared Knowledge in Infancy" "PS" 1 2013 2010-07-12 0 4 3 0 75 0
"Communicating With the Crowd  Speakers Use Abstract Messages When Addressin...  EBSCOhost" "JEPG" 0 2013 2012-06-25 0 16 4 0 25 0
"Community Norms About Suppression of AIDS-Related Prejudice and Perceptions of Stigma by People With HIV or AIDS" "PS" 1 2011 2010-05-28 0 6 0 0 0 0
"Company, Country, Connections" "PS" 1 2010 2010-01-06 0 11 1 0 9.09 0
"Comparability Effects in Probability Judgments" "PS" 1 2012 2011-07-08 0 3 0 0 0 0
"Comparing the Sensitivity of Manual Pursuit and Perceptual Judgments to Pictorial Depth Effects" "PS" 1 2003 2002-03-28 0 16 3 0 18.75 0
"Comparing Upward and Speeding Up" "PS" 1 2011 2010-09-02 0 2 0 0 0 0
"Comparison of the Distortion of Probability Information in Decision Under Risk and an Equivalent Visual Task" "PS" 1 2012 2010-07-28 0 7 1 0 14.29 0
"Compassion Training Alters Altruism and Neural Responses to Suffering" "PS" 1 2013 2012-03-21 0 8 1 0 12.5 0
"Compassion, pride, and social intuitions of self-other similarity  EBSCOhost" "JPSP" 0 2010 2008-06-05 0 40 0 0 0 0
"Competence-Impeding Electronic Games and Players’ Aggressive Feelings, Thou...  EBSCOhost" "JPSP" 0 2013 2012-11-12 0 73 52 39 71.23 53.42
"Competition, Cooperation, and the Effects of Others on Me  EBSCOhost" "JPSP" 0 2005 2004-07-20 0 19 1 0 5.26 0
"Competitive victimhood as a response to accusations of ingroup harm doing  EBSCOhost" "JPSP" 0 2012 2011-01-26 0 28 1 0 3.57 0
"Competitors Who Choose to Be Red Have Higher Testosterone Levels" "PS" 1 2013 2012-09-06 0 8 1 0 12.5 0
"Complementary Justice  Effects of 'Poor but Happy' and 'Poor but Honest' St...  EBSCOhost" "JPSP" 0 2003 2002-07-11 0 38 3 0 7.89 0
"Completing the Implicit Association Test Reduces Positive Intergroup Interaction Behavior" "PS" 1 2012 2011-05-12 0 8 0 0 0 0
"Complexity and valence in ethnophaulisms and exclusion of ethnic out-groups...  EBSCOhost" "JPSP" 0 2009 2007-11-07 0 28 25 6 89.29 21.43
"Compression in visual working memory  Using statistical regularities to for...  EBSCOhost" "JEPG" 0 2009 2008-08-01 0 14 1 0 7.14 0
"Conceptual beliefs about human values and their implications  Human nature ...  EBSCOhost" "JPSP" 0 2006 2003-12-03 0 11 2 2 18.18 18.18
"Conceptual Combination During Sentence Comprehension" "PS" 1 2007 2005-07-01 0 16 7 1 43.75 6.25
"Conceptual distinctiveness supports detailed visual long-term memory for re...  EBSCOhost" "JEPG" 0 2010 2009-03-25 0 18 1 0 5.56 0
"Conceptual Penetration of Visual Processing" "PS" 1 2010 2009-06-29 0 24 2 0 8.33 0
"Conceptualizing and assessing self-enhancement bias  A componential approac...  EBSCOhost" "JPSP" 0 2008 2006-03-06 0 7 0 0 0 0
"Conceptualizing Control in Social Cognition  How Executive Functioning Modu...  EBSCOhost" "JPSP" 0 2005 2004-08-20 0 17 2 0 11.76 0
"Concern for the in-group and opposition to affirmative action  EBSCOhost" "JPSP" 0 2006 2004-07-24 0 33 3 0 9.09 0
"Concern Over the Misidentification of Sexual Orientation  Social Contagion ...  EBSCOhost" "JPSP" 0 2013 2011-10-05 0 19 2 0 10.53 0
"Conclusions in Science When Theory and Data Collide" "PS" 1 2007 2006-09-06 0 2 0 0 0 0
"Conditions for Facelike Expertise With Objects" "PS" 1 2009 2008-05-29 0 11 1 0 9.09 0
"Confessions That Corrupt" "PS" 1 2012 2011-06-15 0 12 3 1 25 8.33
"Confirmatory bias in the evaluation of personality descriptions  Positive t...  EBSCOhost" "JPSP" 0 2003 2001-08-02 0 39 1 0 2.56 0
"Conflict's consequences  Effects of social motives on postnegotiation creat...  EBSCOhost" "JPSP" 0 2005 2004-06-26 0 56 13 6 23.21 10.71
"Conflicting social motives in negotiating groups  EBSCOhost" "JPSP" 0 2007 2006-11-15 0 25 3 1 12 4
"Confuse Your Illusion" "PS" 1 2013 2011-11-08 0 11 0 0 0 0
"Confusing One Instrumental Other for Another  Goal Effects on Social Categorization" "PS" 1 2009 2008-12-06 0 11 0 0 0 0
"Connecting and separating mind-sets  Culture as situated cognition  EBSCOhost" "JPSP" 0 2009 2008-03-25 0 49 29 13 59.18 26.53
"Connecting the Dots" "PS" 1 2013 2012-07-18 0 3 0 0 0 0
"Connecting the Dots Within" "PS" 1 2008 2008-04-03 0 12 5 0 41.67 0
"Connections From Kafka" "PS" 1 2009 2008-10-24 0 7 0 0 0 0
"Conserving self-control strength  EBSCOhost" "JPSP" 0 2006 2005-07-01 0 77 9 1 11.69 1.3
"Consider it done! Plan making can eliminate the cognitive effects of unfulf...  EBSCOhost" "JPSP" 0 2011 2010-06-05 0 55 3 0 5.45 0
"Consolidation Power of Extrinsic Rewards  Reward Cues Enhance Long-Term Mem...  EBSCOhost" "JEPG" 0 2013 2012-04-24 0 5 0 0 0 0
"Consonance and Pitch  EBSCOhost" "JEPG" 0 2013 2011-10-24 0 34 2 1 5.88 2.94
"Constraining Theories of Embodied Cognition" "PS" 1 2005 2004-01-27 0 4 0 0 0 0
"Constraints and triggers  Situational mechanics of gender in negotiation  EBSCOhost" "JPSP" 0 2005 2004-11-12 0 44 4 0 9.09 0
"Constraints in task-set control  Modality dominance patterns among effector...  EBSCOhost" "JEPG" 0 2013 2012-06-15 0 14 1 0 7.14 0
"Construal Level and Procrastination" "PS" 1 2008 2008-04-25 0 12 10 4 83.33 33.33
"Construal level mind-sets moderate self- and social stereotyping  EBSCOhost" "JPSP" 0 2012 2009-10-05 0 57 1 0 1.75 0
"Construal levels and self-control  EBSCOhost" "JPSP" 0 2006 2004-12-07 0 42 3 0 7.14 0
"Constructed Criteria" "PS" 1 2005 2003-06-12 0 30 8 4 26.67 13.33
"Constructing Emotion" "PS" 1 2008 2007-09-03 0 11 2 0 18.18 0
"Construction of Preferences by Constraint Satisfaction" "PS" 1 2004 NA NA 10 1 0 10 0
"Constructivist Coding" "PS" 1 2007 2005-12-22 0 4 2 0 50 0
"Consuming Now or Later " "PS" 1 2005 2004-05-06 0 17 0 0 0 0
"Consumption After a Diet Violation" "PS" 1 2009 2008-09-25 0 7 2 0 28.57 0
"Contact with out-group friends as a predictor of meta-attitudinal strength ...  EBSCOhost" "JPSP" 0 2007 2005-07-15 0 19 0 0 0 0
"Contagion and Differentiation in Unethical Behavior" "PS" 1 2009 2008-07-14 0 3 0 0 0 0
"Context-gated statistical learning and its role in visual-saccadic decision...  EBSCOhost" "JEPG" 0 2012 2011-06-07 0 31 2 0 6.45 0
"Context Effects in Word Recognition" "PS" 1 2003 2002-04-29 0 16 0 0 0 0
"Context Is Routinely Encoded During Emotion Perception" "PS" 1 2010 2009-05-21 0 4 0 0 0 0
"Contextual Illusions Reveal the Limit of Unconscious Visual Processing" "PS" 1 2011 2010-07-19 0 8 1 0 12.5 0
"Contextual Moderation of Racial Bias  The Impact of Social Roles on Control...  EBSCOhost" "JPSP" 0 2004 2001-10-29 0 40 2 0 5 0
"Contextual neglect, self-evaluation, and the frog-pond effect  EBSCOhost" "JPSP" 0 2009 2008-07-31 0 60 2 0 3.33 0
"Contextual variations in implicit evaluation  EBSCOhost" "JEPG" 0 2003 2001-10-11 0 13 0 0 0 0
"Contextualizing Change in Marital Satisfaction During Middle Age" "PS" 1 2008 2007-08-24 0 9 1 1 11.11 11.11
"Contingencies of Self-Worth in College Students  Theory and Measurement  EBSCOhost" "JPSP" 0 2003 2002-04-10 0 12 0 0 0 0
"Continuity and Change in Self-Esteem During Emerging Adulthood  EBSCOhost" "JPSP" 0 2013 2013-03-13 0 3 2 0 66.67 0
"Contrast effects in priming paradigms  Implications for theory and research...  EBSCOhost" "JPSP" 0 2009 2008-10-15 0 33 0 0 0 0
"Contrast effects in spontaneous evaluations  A psychophysical account  EBSCOhost" "JPSP" 0 2009 2008-03-21 0 32 4 0 12.5 0
"Contributions of source and inhibitory mechanisms to age-related retroactiv...  EBSCOhost" "JEPG" 0 2003 2001-11-27 0 4 0 0 0 0
"Control deprivation and styles of thinking  EBSCOhost" "JPSP" 0 2012 2010-11-14 0 62 2 0 3.23 0
"Controlling Intentions" "PS" 1 2013 2012-12-21 0 11 0 0 0 0
"Controlling Racial Prejudice" "PS" 1 2005 2004-12-01 0 3 2 0 66.67 0
"Controlling the Unconscious" "PS" 1 2011 2010-07-05 0 23 4 0 17.39 0
"Converging Evidence That Stereotype Threat Reduces Working Memory Capacity  EBSCOhost" "JPSP" 0 2003 2002-05-21 0 44 7 0 15.91 0
"Conversing across cultures  East-West communication styles in work and nonw...  EBSCOhost" "JPSP" 0 2003 2002-10-11 0 24 6 0 25 0
"Cooperation in social dilemmas  Free riding may be thwarted by second-order...  EBSCOhost" "JPSP" 0 2008 2007-08-23 0 65 1 0 1.54 0
"Coordination of Voluntary and Stimulus-Driven Attentional Control in Human Cortex" "PS" 1 2005 2004-01-30 0 4 0 0 0 0
"Coordination success and interpersonal perceptions  Matching versus mismatc...  EBSCOhost" "JPSP" 0 2008 2006-08-05 0 118 25 3 21.19 2.54
"Coping With Stereotype Threat  Denial as an Impression Management Strategy  EBSCOhost" "JPSP" 0 2005 2004-06-25 0 55 5 0 9.09 0
"Coregistration of eye movements and EEG in natural reading  Analyses and re...  EBSCOhost" "JEPG" 0 2011 2009-11-04 0 10 0 0 0 0
"Corollary Discharge Provides the Sensory Content of Inner Speech" "PS" 1 2013 2012-07-04 0 3 2 0 66.67 0
"Correcting the past  Failures to replicate psi  EBSCOhost" "JPSP" 0 2012 2012-02-08 0 13 10 1 76.92 7.69
"Cortical Shape Adaptation Transforms a Circle Into a Hexagon" "PS" 1 2012 2011-01-17 0 1 0 0 0 0
"Cosmetic Use of Botulinum Toxin-A Affects Processing of Emotional Language" "PS" 1 2010 2009-09-19 0 5 0 0 0 0
"Counteracting Loneliness" "PS" 1 2008 2007-11-14 0 7 1 0 14.29 0
"Counteracting obstacles with optimistic predictions  EBSCOhost" "JEPG" 0 2010 2008-10-27 0 41 5 2 12.2 4.88
"Counterfactual potency  EBSCOhost" "JPSP" 0 2011 2010-02-03 0 71 3 1 4.23 1.41
"Counterfactual Thinking and the First Instinct Fallacy  EBSCOhost" "JPSP" 0 2005 2003-10-28 0 26 4 0 15.38 0
"Counting blessings versus burdens  An experimental investigation of gratitu...  EBSCOhost" "JPSP" 0 2003 2001-02-07 0 8 2 1 25 12.5
"Counting Chicks Before They Hatch" "PS" 1 2009 2008-09-29 0 8 0 0 0 0
"Counting Multidimensional Objects" "PS" 1 2013 2011-02-21 0 2 0 0 0 0
"Covert Painting Simulations Influence Aesthetic Appreciation of Artworks" "PS" 1 2012 2012-02-08 0 7 3 1 42.86 14.29
"Creating and undermining social support in communal relationships  The role...  EBSCOhost" "JPSP" 0 2008 2007-06-05 0 11 0 0 0 0
"Creating Buzz" "PS" 1 2013 2012-06-03 0 1 0 0 0 0
"Creating Fair Lineups for Suspects With Distinctive Features" "PS" 1 2009 2008-12-17 0 3 0 0 0 0
"Creating Social Connection Through Inferential Reproduction" "PS" 1 2008 2007-04-09 0 11 0 0 0 0
"Creeping dispositionism  The temporal dynamics of behavior prediction  EBSCOhost" "JPSP" 0 2003 2002-03-04 0 30 3 0 10 0
"Cross-cultural differences in the refusal to accept a small gift  The diffe...  EBSCOhost" "JPSP" 0 2011 2009-08-17 0 34 7 2 20.59 5.88
"Cross-cultural evidence that the nonverbal expression of pride is an automa...  EBSCOhost" "JEPG" 0 2013 2011-04-14 0 11 0 0 0 0
"Cross-Language Intrusion Errors in Aging Bilinguals Reveal the Link Between Executive Control and Language Selection" "PS" 1 2011 2010-11-08 0 2 0 0 0 0
"Cross-Modal Training Induces Changes in Spatial Representations Early in the Auditory Processing Pathway" "PS" 1 2011 2011-01-26 0 7 0 0 0 0
"Cross-sectional and longitudinal patterns of dedifferentiation in late-life...  EBSCOhost" "JEPG" 0 2003 2002-06-03 0 2 0 0 0 0
"Cross-Situational Consistency of Affective Experiences Across Cultures  EBSCOhost" "JPSP" 0 2004 NA NA 10 0 0 0 0
"Crossed categorization beyond the two-group model  EBSCOhost" "JPSP" 0 2007 2005-03-05 0 19 3 1 15.79 5.26
"Crossing the Virtual Boundary" "PS" 1 2012 2011-11-22 0 11 1 1 9.09 9.09
"Cultural affordances and emotional experience  Socially engaging and diseng...  EBSCOhost" "JPSP" 0 2006 2003-05-07 0 32 4 0 12.5 0
"Cultural borders and mental barriers  The relationship between living abroa...  EBSCOhost" "JPSP" 0 2009 2007-06-13 0 20 3 1 15 5
"Cultural conditioning  Understanding interpersonal accommodation in India a...  EBSCOhost" "JPSP" 0 2011 2009-11-17 0 39 2 0 5.13 0
"Cultural Differences in the Impact of Social Support on Psychological and Biological Stress Responses" "PS" 1 2007 2006-09-08 0 4 0 0 0 0
"Cultural Influences on Neural Substrates of Attentional Control" "PS" 1 2008 2007-01-09 0 8 0 0 0 0
"Cultural sharing in a global village  Evidence for extracultural cognition ...  EBSCOhost" "JPSP" 0 2009 2008-02-17 0 32 4 0 12.5 0
"Cultural Variance in the Interpersonal Effects of Anger in Negotiations" "PS" 1 2010 2009-07-21 0 15 1 0 6.67 0
"Cultural variation in affect valuation  EBSCOhost" "JPSP" 0 2006 2004-08-26 0 72 0 0 0 0
"Cultural variations on optimistic and pessimistic bias for self versus a si...  EBSCOhost" "JPSP" 0 2003 2002-05-10 0 32 1 0 3.12 0
"Culturally Contingent Situated Cognition" "PS" 1 2010 2010-03-04 0 11 0 0 0 0
"Culturally Divergent Responses to Mortality Salience" "PS" 1 2011 2010-04-15 0 20 5 0 25 0
"Culture and concepts of power  EBSCOhost" "JPSP" 0 2010 2009-07-14 0 17 2 0 11.76 0
"Culture and group perception  Dispositional and stereotypic inferences abou...  EBSCOhost" "JPSP" 0 2007 2005-12-28 0 53 4 1 7.55 1.89
"Culture and judgement of causal relevance  EBSCOhost" "JPSP" 0 2003 2001-02-13 0 43 6 0 13.95 0
"Culture and self-concept stability  Consistency across and within contexts ...  EBSCOhost" "JPSP" 0 2007 2006-12-06 0 22 2 0 9.09 0
"Culture and Social Support  Who Seeks It and Why   EBSCOhost" "JPSP" 0 2004 2003-07-06 0 30 4 4 13.33 13.33
"Culture and the body  East–West differences in visceral perception  EBSCOhost" "JPSP" 0 2012 2009-10-28 0 28 9 0 32.14 0
"Culture and the distinctiveness motive  Constructing identity in individual...  EBSCOhost" "JPSP" 0 2012 2010-09-16 0 8 0 0 0 0
"Culture and the Physical Environment" "PS" 1 2006 2005-01-06 0 19 0 0 0 0
"Culture and the role of choice in agency  EBSCOhost" "JPSP" 0 2011 2007-01-14 0 107 2 1 1.87 0.93
"Culture as common sense  Perceived consensus versus personal beliefs as mec...  EBSCOhost" "JPSP" 0 2009 2008-02-04 0 48 12 1 25 2.08
"Culture, attention, and emotion  EBSCOhost" "JEPG" 0 2012 2011-02-08 0 10 0 0 0 0
"Culture, cross-role consistency, and adjustment  Testing trait and cultural...  EBSCOhost" "JPSP" 0 2008 2007-07-20 0 5 0 0 0 0
"Culture, emotion regulation, and adjustment  EBSCOhost" "JPSP" 0 2008 2005-10-25 0 7 1 1 14.29 14.29
"Culture, gender, and the self  Variations and impact of social comparison p...  EBSCOhost" "JPSP" 0 2007 2006-01-30 0 64 9 0 14.06 0
"Cutting stress off at the pass  Reducing vigilance and responsiveness to so...  EBSCOhost" "JPSP" 0 2007 2006-01-18 0 35 3 0 8.57 0
"Daily Depression and Cognitions About Stress  Evidence for a Traitlike Depr...  EBSCOhost" "JPSP" 0 2005 2003-12-23 0 3 0 0 0 0
"Dating couples' attachment styles and patterns of cortisol reactivity and r...  EBSCOhost" "JPSP" 0 2006 2004-10-15 0 5 4 0 80 0
"Death Without God" "PS" 1 2008 2007-08-07 0 6 0 0 0 0
"Death, Life, Scarcity, and Value  An Alternative Perspective on the Meaning of Death" "PS" 1 2009 2009-02-11 0 5 1 0 20 0
"Decay Versus Interference" "PS" 1 2012 2012-02-02 0 1 0 0 0 0
"Deciding to Defect" "PS" 1 2005 2004-06-14 0 4 1 0 25 0
"Deciphering the Enigmatic Face" "PS" 1 2005 2004-04-23 0 19 3 0 15.79 0
"Decision makers conceive of their choices as interventions  EBSCOhost" "JEPG" 0 2009 2007-01-07 0 25 1 0 4 0
"Decision making and the avoidance of cognitive demand  EBSCOhost" "JEPG" 0 2010 2009-10-07 0 15 1 0 6.67 0
"Decisions from Experience and the Effect of Rare Events in Risky Choice" "PS" 1 2004 2002-06-24 0 1 1 0 100 0
"Decisions Under Distress" "PS" 1 2009 2008-12-17 0 1 0 0 0 0
"Decomposition of repetition priming components in picture naming  EBSCOhost" "JEPG" 0 2008 2007-01-03 0 7 0 0 0 0
"Deconstructing Early Life Experiences" "PS" 1 2010 2009-12-23 0 8 3 0 37.5 0
"Deconstructing the better-than-average effect  EBSCOhost" "JPSP" 0 2010 2009-08-17 0 15 5 0 33.33 0
"Decoupling Neural Networks From Reality" "PS" 1 2006 NA NA 5 2 0 40 0
"Decreased Latent Inhibition Is Associated With Increased Creative Achieveme...  EBSCOhost" "JPSP" 0 2003 2002-02-06 0 26 8 0 30.77 0
"Defend or repair  Explaining responses to in-group moral failure by disenta...  EBSCOhost" "JPSP" 0 2012 2010-07-05 0 25 1 0 4 0
"Defensive helping  Threat to group identity, ingroup identification, status...  EBSCOhost" "JPSP" 0 2009 2008-01-28 0 40 4 0 10 0
"Defensive Physiological Reactions to Rejection" "PS" 1 2007 2006-10-04 0 12 3 1 25 8.33
"Defensive pride and consensus  strength in imaginary numbers  EBSCOhost" "JPSP" 0 2005 2003-07-08 0 39 1 0 2.56 0
"Defensive Zeal and the Uncertain Self  What Makes You So Sure   EBSCOhost" "JPSP" 0 2003 2002-05-20 0 53 5 1 9.43 1.89
"Deference in Indians' decision making  Introjected goals or injunctive norm...  EBSCOhost" "JPSP" 0 2012 2009-07-08 0 44 5 1 11.36 2.27
"Deflecting the trajectory and changing the narrative  How self-affirmation ...  EBSCOhost" "JPSP" 0 2013 2011-07-19 0 112 6 0 5.36 0
"Dehumanizing the Lowest of the Low" "PS" 1 2006 2005-08-15 0 2 0 0 0 0
"Delay, Doubt, and Decision" "PS" 1 2010 2009-03-10 0 9 0 0 0 0
"Delayed Reentrant Processing Impairs Visual Awareness" "PS" 1 2010 2009-12-15 0 3 0 0 0 0
"Deliberate Practice Is Necessary but Not Sufficient to Explain Individual Differences in Piano Sight-Reading Skill" "PS" 1 2010 2008-11-08 0 5 0 0 0 0
"Deliberation’s Blindsight" "PS" 1 2013 2011-11-23 0 12 1 0 8.33 0
"Denial of responsibility  A new mode of dissonance reduction  EBSCOhost" "JPSP" 0 2006 2004-03-30 0 24 3 1 12.5 4.17
"Denying Humanness to Others" "PS" 1 2011 2010-09-02 0 15 0 0 0 0
"Deontological and utilitarian inclinations in moral decision making  A proc...  EBSCOhost" "JPSP" 0 2013 2012-03-06 0 17 3 0 17.65 0
"Depressive Realism and Outcome Density Bias in Contingency Judgments  The E...  EBSCOhost" "JEPG" 0 2005 2004-01-08 0 37 4 0 10.81 0
"Depressive symptoms can be useful  Self-regulatory and emotional benefits o...  EBSCOhost" "JPSP" 0 2009 2008-04-24 0 6 0 0 0 0
"Desensitization to media violence  Links with habitual media violence expos...  EBSCOhost" "JPSP" 0 2011 2009-05-18 0 35 7 0 20 0
"Detecting Silent Pauses in Speech" "PS" 1 2005 2004-01-07 0 25 0 0 0 0
"Detecting the Snake in the Grass" "PS" 1 2008 2007-05-01 0 10 0 0 0 0
"Detecting the Trustworthiness of Novel Partners in Economic Exchange" "PS" 1 2012 2012-01-02 0 2 0 0 0 0
"Detection of Audiovisual Speech Correspondences Without Visual Awareness" "PS" 1 2013 2012-01-22 0 5 0 0 0 0
"Detection of emotional faces  Salient physical features guide effective vis...  EBSCOhost" "JEPG" 0 2008 2007-10-16 0 81 2 0 2.47 0
"Determinants of health knowledge  An investigation of age, gender, abilitie...  EBSCOhost" "JPSP" 0 2003 2001-06-25 0 3 0 0 0 0
"Determinants of justification and self-control  EBSCOhost" "JEPG" 0 2006 2004-10-13 0 40 14 3 35 7.5
"Development of Affective Decision Making for Self and Other" "PS" 1 2005 2004-07-27 0 5 2 0 40 0
"Development of Perceptual Completion in Infancy" "PS" 1 2004 2003-09-17 0 18 0 0 0 0
"Development of Phonological Constancy" "PS" 1 2009 2008-03-25 0 7 4 0 57.14 0
"Developmental “Roots” in Mature Biological Knowledge" "PS" 1 2009 2008-03-08 0 26 5 1 19.23 3.85
"Developmental Change in Interhemispheric Communication" "PS" 1 2007 2007-03-07 0 2 0 0 0 0
"Developments in Declarative Memory" "PS" 1 2005 2003-07-05 0 13 2 0 15.38 0
"Developments in Long-Term Explicit Memory Late in the First Year of Life" "PS" 1 2003 2002-08-13 0 7 1 0 14.29 0
"Dialogic Argumentation as a Vehicle for Developing Young Adolescents’ Thinking" "PS" 1 2011 2010-08-07 0 10 1 0 10 0
"Different Emotional Reactions to Different Groups  A Sociofunctional Threat...  EBSCOhost" "JPSP" 0 2005 2004-01-09 0 17 1 0 5.88 0
"Different Patterns, but Equivalent Predictors, of Growth in Reading in Consistent and Inconsistent Orthographies" "PS" 1 2013 2012-08-14 0 7 4 0 57.14 0
"Differential Access to Information and Anticipated Group Interaction  Impac...  EBSCOhost" "JPSP" 0 2005 2003-04-25 0 51 4 0 7.84 0
"Differential Electrophysiological Signatures of Semantic and Syntactic Scene Processing" "PS" 1 2013 2012-08-08 0 8 2 0 25 0
"Differential Processing of Consonants and Vowels in Lexical Access Through Reading" "PS" 1 2008 2008-02-01 0 16 4 1 25 6.25
"Differential processing of thematic and categorical conceptual relations in...  EBSCOhost" "JEPG" 0 2013 2012-01-16 0 3 1 1 33.33 33.33
"Differentiating autonomy from individualism and independence  A self-determ...  EBSCOhost" "JPSP" 0 2003 2001-08-02 0 15 2 0 13.33 0
"Differentiating Between Conceptual Implicit and Explicit Memory" "PS" 1 2012 2011-06-24 0 2 0 0 0 0
"Differentiating Social and Personal Power  Opposite Effects on Stereotyping, but Parallel Effects on Behavioral Approach Tendencies" "PS" 1 2009 2008-05-22 0 9 1 0 11.11 0
"Differentiating the effects of status and power  A justice perspective  EBSCOhost" "JPSP" 0 2012 2010-10-18 0 68 5 0 7.35 0
"Digital Chameleons" "PS" 1 2005 2004-08-25 0 4 1 0 25 0
"Diminishing Self-Disclosure to Maintain Security in Partners’ Care  EBSCOhost" "JPSP" 0 2013 2012-10-11 0 23 0 0 0 0
"Direct-comparison judgments  When and why above- and below-average effects ...  EBSCOhost" "JEPG" 0 2008 2007-04-18 0 34 1 0 2.94 0
"Direct Evidence for the Role of Inhibition in Resolving Interference in Memory" "PS" 1 2010 2009-06-22 0 10 0 0 0 0
"Direct Risk Aversion" "PS" 1 2009 2008-07-15 0 1 0 0 0 0
"Directed forgetting of recently recalled autobiographical memories  EBSCOhost" "JEPG" 0 2007 2002-06-19 0 94 3 0 3.19 0
"Directional Bias in the Mental Representation of Spatial Events" "PS" 1 2003 2002-02-26 0 15 0 0 0 0
"Dirty Hands and Dirty Mouths" "PS" 1 2010 2010-03-09 0 6 2 2 33.33 33.33
"Dirty Liberals!" "PS" 1 2011 2010-08-23 0 7 0 0 0 0
"Discerning the Role of Optimism in Persuasion  The Valence-Enhancement Hypo...  EBSCOhost" "JPSP" 0 2003 2002-07-29 0 27 3 0 11.11 0
"Discounting and Conditionalization" "PS" 1 2005 2004-08-20 0 5 0 0 0 0
"Discounting future green  Money versus the environment  EBSCOhost" "JEPG" 0 2009 2008-07-28 0 26 0 0 0 0
"Discounting of Monetary and Directly Consumable Rewards" "PS" 1 2007 2005-10-18 0 3 0 0 0 0
"Discovering That the Shoe Fits" "PS" 1 2009 2008-08-29 0 21 0 0 0 0
"Discovery misattribution  When solving is confused with remembering  EBSCOhost" "JEPG" 0 2007 2005-04-11 0 53 5 1 9.43 1.89
"Discrepancies between explicit and implicit self-concepts  Consequences for...  EBSCOhost" "JPSP" 0 2006 2003-06-02 0 47 9 0 19.15 0
"Discrete Emotions and Persuasion  The Role of Emotion-Induced Expectancies  EBSCOhost" "JPSP" 0 2004 2002-12-02 0 21 4 1 19.05 4.76
"Discretionary task interleaving  Heuristics for time allocation in cognitiv...  EBSCOhost" "JEPG" 0 2007 2006-06-01 0 11 1 0 9.09 0
"Discrimination of Possible and Impossible Objects in Infancy" "PS" 1 2007 2006-05-17 0 6 0 0 0 0
"Disembodiment  Abstract construal attenuates the influence of contextual bo...  EBSCOhost" "JEPG" 0 2012 2011-04-18 0 6 0 0 0 0
"Disentangling stereotype activation and stereotype application in the stere...  EBSCOhost" "JPSP" 0 2012 2011-12-22 0 92 3 1 3.26 1.09
"Disentangling the effects of low self-esteem and stressful events on depres...  EBSCOhost" "JPSP" 0 2009 2008-08-20 0 6 0 0 0 0
"Disgust and the moralization of purity  EBSCOhost" "JPSP" 0 2009 2008-09-23 0 31 3 1 9.68 3.23
"Dishonesty in the Name of Equity" "PS" 1 2009 2008-10-20 0 14 0 0 0 0
"Dispositional Attribution  Multiple Inferences About Motive-Related Traits  EBSCOhost" "JPSP" 0 2004 2003-03-06 0 45 2 0 4.44 0
"Dispositional optimism and engagement  The moderating influence of goal pri...  EBSCOhost" "JPSP" 0 2009 2007-01-25 0 38 3 0 7.89 0
"Dispositional pessimism predicts illness-related disruption of social and r...  EBSCOhost" "JPSP" 0 2003 2002-03-29 0 18 0 0 0 0
"Disruption of Eye Movements by Ethanol Intoxication Affects Perception of Depth From Motion Parallax" "PS" 1 2004 2003-10-27 0 7 5 1 71.43 14.29
"Disruptive Effects of Vigilance on Dominant Group Members' Treatment of Out...  EBSCOhost" "JPSP" 0 2004 2003-09-14 0 37 0 0 0 0
"Dissecting the Geometric Module" "PS" 1 2006 2005-05-16 0 1 1 0 100 0
"Dissociable Interference-Control Processes in Perception and Memory" "PS" 1 2008 2007-08-10 0 10 0 0 0 0
"Dissociable Neural Routes to Successful Prospective Memory" "PS" 1 2013 2012-11-20 0 5 0 0 0 0
"Dissociable Neural Systems Support Retrieval of How and Why Action Knowledge" "PS" 1 2010 2009-12-11 0 1 0 0 0 0
"Dissociating contingency awareness and conditioned attitudes  Evidence of c...  EBSCOhost" "JEPG" 0 2012 2011-08-22 0 65 7 1 10.77 1.54
"Dissociating Motivational Direction and Affective Valence" "PS" 1 2007 2006-11-21 0 4 0 0 0 0
"Dissociating Spatial Attention and Awareness in Emotion-Induced Blindness" "PS" 1 2011 2009-11-21 0 17 1 0 5.88 0
"Dissociating uncertainty responses and reinforcement signals in the compara...  EBSCOhost" "JEPG" 0 2006 2005-07-21 0 4 0 0 0 0
"Dissociations Among Attention, Perception, and Awareness During Object-Substitution Masking" "PS" 1 2003 2002-11-04 0 13 2 2 15.38 15.38
"Dissociations of Personally Significant and Task-Relevant Distractors Insid...  EBSCOhost" "JEPG" 0 2003 2002-08-09 0 29 2 0 6.9 0
"Dissociative Tendencies and Memory Performance on Directed-Forgetting Tasks" "PS" 1 2007 2005-06-29 0 18 1 0 5.56 0
"Distance-dependent processing of pictures and words  EBSCOhost" "JEPG" 0 2009 2008-01-22 0 8 1 0 12.5 0
"Distance from a distance  Psychological distance reduces sensitivity to any...  EBSCOhost" "JEPG" 0 2013 2011-06-22 0 13 0 0 0 0
"Distancing from experienced self  How global-versus-local perception affect...  EBSCOhost" "JPSP" 0 2009 2008-01-20 0 38 6 0 15.79 0
