"source" "journal" "statcheck_journal" "year_published" "date_received" "period" "nr_nhst" "nr_errors" "nr_dec_errors" "perc_errors" "perc_dec_errors"
"Forgetting Trauma Stimuli" "PS" 1 2004 NA NA 5 0 0 0 0
"Forgetting and Recovering the Unforgettable" "PS" 1 2008 2007-07-23 0 6 4 1 66.67 16.67
"Forgetting of Trauma Cues in Adults Reporting Continuous or Recovered Memories of Childhood Sexual Abuse" "PS" 1 2005 2004-03-22 0 8 5 0 62.5 0
"Forgetting the Unforgettable Through Conversation" "PS" 1 2009 2008-07-26 0 11 3 0 27.27 0
"Forming implicit and explicit attitudes toward individuals  Social group as...  EBSCOhost" "JPSP" 0 2008 2007-05-26 0 54 1 0 1.85 0
"Fractionating Working Memory" "PS" 1 2005 2004-01-13 0 8 0 0 0 0
"Framing discrimination  Effects of inclusion versus exclusion mind-sets on ...  EBSCOhost" "JPSP" 0 2006 2005-03-28 0 43 1 0 2.33 0
"Frequency Correlates in Grapheme-Color Synaesthesia" "PS" 1 2007 2006-10-17 0 9 2 0 22.22 0
"Friend or foe  Subjective expected relative similarity as a determinant of ...  EBSCOhost" "JEPG" 0 2009 2008-08-09 0 5 0 0 0 0
"Friends Shrink Foes" "PS" 1 2013 2012-05-09 0 12 1 0 8.33 0
"Friends or foes_ Infants use shared evaluations to infer others’ social rel..._ EBSCOhost" "JEPG" 0 2013 2012-11-20 0 11 1 0 9.09 0
"From Assets to School Outcomes" "PS" 1 2009 2008-02-08 0 13 1 0 7.69 0
"From Body Form to Biological Motion" "PS" 1 2011 2010-10-27 0 13 1 1 7.69 7.69
"From Fan to Fat  Vicarious Losing Increases Unhealthy Eating, but Self-Affirmation Is an Effective Remedy" "PS" 1 2013 2012-08-29 0 29 2 0 6.9 0
"From Glue to Gasoline" "PS" 1 2013 2012-12-31 0 25 0 0 0 0
"From Neural Responses to Population Behavior" "PS" 1 2012 2011-07-12 0 2 0 0 0 0
"From Statistics to Meaning" "PS" 1 2010 2009-01-22 0 8 0 0 0 0
"From Sucker to Saint" "PS" 1 2008 2007-10-25 0 10 0 0 0 0
"From Vulnerability to Resilience" "PS" 1 2004 2003-11-12 0 17 1 0 5.88 0
"From What to Where" "PS" 1 2003 2002-06-14 0 1 0 0 0 0
"From chair to 'chair'  A representational shift account of object labeling ...  EBSCOhost" "JEPG" 0 2008 2007-05-27 0 78 4 1 5.13 1.28
"From sunshine to double arrows  An evaluation window account of negative co...  EBSCOhost" "JEPG" 0 2010 2009-10-26 0 102 7 0 6.86 0
"From the Most Fleeting of Glimpses" "PS" 1 2010 2009-12-09 0 11 0 0 0 0
"Frontal Brain Asymmetry and Reward Responsiveness" "PS" 1 2005 2004-08-24 0 4 1 0 25 0
"Function follows form  Activation of shape and function features during obj...  EBSCOhost" "JEPG" 0 2011 2009-06-14 0 19 0 0 0 0
"Fundamental dimensions of social judgment  Understanding the relations betw...  EBSCOhost" "JPSP" 0 2005 2004-04-05 0 71 5 0 7.04 0
"Fundamental(ist) attribution error  Protestants are dispositionally focused  EBSCOhost" "JPSP" 0 2012 2010-04-25 0 4 0 0 0 0
"Gaze-Triggered Orienting as a Tool of the Belongingness Self-Regulation System" "PS" 1 2009 2008-06-23 0 13 0 0 0 0
"Gender Differences in Children’s Arithmetic Performance Are Accounted for by Gender Differences in Language Abilities" "PS" 1 2012 2011-02-18 0 15 1 0 6.67 0
"Gender Differences in Cooperation and Competition" "PS" 1 2007 2006-02-13 0 1 0 0 0 0
"Gender Gaps in Sociopolitical Attitudes  A Social Psychological Analysis  EBSCOhost" "JPSP" 0 2004 2003-11-05 0 10 0 0 0 0
"Gender-Bias Primes Elicit Queen-Bee Responses Among Senior Policewomen" "PS" 1 2011 2011-03-25 0 10 0 0 0 0
"Gendered Races" "PS" 1 2013 2011-11-28 0 35 14 1 40 2.86
"General Cognitive Ability and the Psychological Refractory Period" "PS" 1 2013 2012-09-04 0 3 0 0 0 0
"General Magnitude Representation in Human Infants" "PS" 1 2010 2009-05-12 0 11 0 0 0 0
"Generalization of Affective Learning About Faces to Perceptually Similar Faces" "PS" 1 2010 2009-08-10 0 10 2 0 20 0
"Generalization versus contextualization in automatic evaluation  EBSCOhost" "JEPG" 0 2010 2009-10-22 0 61 4 1 6.56 1.64
"Generalized Prejudice" "PS" 1 2011 2010-02-22 0 5 0 0 0 0
"Generalized Relational Matching by Guinea Baboons (Papio papio) in Two-by-Two-Item Analogy Problems" "PS" 1 2011 2011-02-12 0 2 0 0 0 0
"Genes for Emotion-Enhanced Remembering Are Linked to Enhanced Perceiving" "PS" 1 2013 2012-09-25 0 8 0 0 0 0
"Genes for Psychosis and Creativity" "PS" 1 2009 2008-05-30 0 16 0 0 0 0
"Genetic Evidence for Multiple Biological Mechanisms Underlying In-Group Favoritism" "PS" 1 2010 2010-01-07 0 9 0 0 0 0
"Genetic Gating of Human Fear Learning and Extinction" "PS" 1 2009 2008-03-20 0 5 0 0 0 0
"Genetic and Caregiving-Based Contributions to Infant Attachment" "PS" 1 2012 2011-06-18 0 1 1 0 100 0
"Gestalt Factors Modulate Basic Spatial Vision" "PS" 1 2010 2009-06-22 0 5 0 0 0 0
"Gesture Changes Thought by Grounding It in Action" "PS" 1 2010 2009-09-02 0 4 0 0 0 0
"Gesture Paves the Way for Language Development" "PS" 1 2005 2004-04-30 0 4 0 0 0 0
"Gesturing Gives Children New Ideas About Math" "PS" 1 2009 2008-03-29 0 6 0 0 0 0
"Get Me Out of This Slump! Visual Illusions Improve Sports Performance" "PS" 1 2012 2011-03-24 0 4 0 0 0 0
"Get excited_ Reappraising pre-performance anxiety as excitement_ EBSCOhost" "JEPG" 0 2013 2013-08-02 0 14 0 0 0 0
"Get real  Effects of repeated simulation and emotion on the perceived plaus...  EBSCOhost" "JEPG" 0 2013 2012-01-09 0 20 0 0 0 0
"Getting a Grip on Drinking Behavior" "PS" 1 2011 2010-11-24 0 13 0 0 0 0
"Getting more from success  Standard raising as esteem maintenance  EBSCOhost" "JPSP" 0 2007 2006-03-20 0 36 0 0 0 0
"Getting the gist of events  Recognition of two-participant actions from bri...  EBSCOhost" "JEPG" 0 2013 2011-06-01 0 4 0 0 0 0
"Gist Memory in the Unconscious-Thought Effect" "PS" 1 2013 2012-09-11 0 21 0 0 0 0
"Giving Time Gives You Time" "PS" 1 2012 2011-10-27 0 13 0 0 0 0
"Glucocorticoid Release and Memory Consolidation in Men and Women" "PS" 1 2006 2005-07-27 0 8 2 0 25 0
"Goal Activation, Expectations, and the Placebo Effect  EBSCOhost" "JPSP" 0 2005 2004-04-26 0 31 3 1 9.68 3.23
"Goal Contagion  Perceiving Is for Pursuing  EBSCOhost" "JPSP" 0 2004 2002-04-17 0 34 3 0 8.82 0
"Goal neglect and Spearman's g  Competing parts of a complex task  EBSCOhost" "JEPG" 0 2008 2005-09-02 0 13 0 0 0 0
"God Is Watching You" "PS" 1 2007 2006-08-20 0 11 2 0 18.18 0
"God and the government  Testing a compensatory control mechanism for the su...  EBSCOhost" "JPSP" 0 2008 2007-03-06 0 18 3 0 16.67 0
"Going With the Flow" "PS" 1 2009 2008-02-14 0 2 0 0 0 0
"Going back to Donald  How comparisons shape judgmental priming effects  EBSCOhost" "JPSP" 0 2008 2006-12-18 0 21 5 0 23.81 0
"Good Lamps Are the Best Police" "PS" 1 2010 2009-05-04 0 11 0 0 0 0
"Good Pitch Memory Is Widespread" "PS" 1 2003 2002-06-03 0 5 0 0 0 0
"Graded semantic and phonological similarity effects in priming  Evidence fo...  EBSCOhost" "JEPG" 0 2007 2002-10-22 0 1 0 0 0 0
"Gradual Remapping Results in Early Retinotopic and Late Spatiotopic Inhibition of Return" "PS" 1 2010 2010-01-31 0 9 1 0 11.11 0
"Grammatical Gender Effects on Cognition  Implications for Language Learning...  EBSCOhost" "JEPG" 0 2005 2004-05-10 0 31 1 0 3.23 0
"Grammatical and Phonological Influences on Word Order" "PS" 1 2009 2008-07-21 0 31 4 2 12.9 6.45
"Grapheme Frequency and Color Luminance in Grapheme-Color Synaesthesia" "PS" 1 2007 2007-01-19 0 4 0 0 0 0
"Graphing the order of the sexes  Constructing, recalling, interpreting, and...  EBSCOhost" "JPSP" 0 2010 2008-02-26 0 54 1 0 1.85 0
"Greasing the Palm" "PS" 1 2011 2010-11-05 0 3 0 0 0 0
"Great Apes' Understanding of Other Individuals' Line of Sight" "PS" 1 2007 2006-05-01 0 16 1 0 6.25 0
"Greater Attention Problems During Childhood Predict Poorer Executive Functioning in Late Adolescence" "PS" 1 2007 2006-09-21 0 10 0 0 0 0
"Greater Exposure to Sexual Content in Popular Movies Predicts Earlier Sexual Debut and Increased Sexual Risk Taking" "PS" 1 2012 2011-08-24 0 7 0 0 0 0
"Grin and Bear It" "PS" 1 2012 2011-09-19 0 14 0 0 0 0
"Group Heterogeneity Increases the Risks of Large Group Size" "PS" 1 2013 2012-04-22 0 6 4 4 66.67 66.67
"Group Status Drives Majority and Minority Integration Preferences" "PS" 1 2012 2011-03-29 0 22 0 0 0 0
"Group-Based Trust in Strangers" "PS" 1 2009 2008-07-26 0 17 0 0 0 0
"Group-Identity Completion and the Symbolic Value of Property" "PS" 1 2007 2006-05-08 0 12 0 0 0 0
"Grouping information for judgments  EBSCOhost" "JEPG" 0 2011 2010-05-25 0 14 0 0 0 0
"Groups Weight Outside Information Less Than Individuals Do Because They Should" "PS" 1 2013 2012-05-30 0 2 0 0 0 0
"Groups Weight Outside Information Less Than Individuals Do, Although They Shouldn’t" "PS" 1 2013 2013-01-03 0 1 0 0 0 0
"Growing in Circles" "PS" 1 2007 2006-10-25 0 23 5 3 21.74 13.04
"Gut Reactions" "PS" 1 2009 2008-11-06 0 4 3 0 75 0
"Happiness Cools the Warm Glow of Familiarity" "PS" 1 2010 2009-04-23 0 11 1 0 9.09 0
"Happiness Is a Personal(ity) Thing" "PS" 1 2008 2007-05-07 0 3 0 0 0 0
"Happiness versus sadness as a determinant of thought confidence in persuasi...  EBSCOhost" "JPSP" 0 2007 2006-02-02 0 51 10 0 19.61 0
"Hard Won and Easily Lost" "PS" 1 2010 2009-12-18 0 10 1 1 10 10
"Harsh Family Climate in Early Life Presages the Emergence of a Proinflammatory Phenotype in Adolescence" "PS" 1 2010 2009-07-20 0 1 0 0 0 0
"Having a Male Co-Twin Masculinizes Mental Rotation Performance in Females" "PS" 1 2010 2009-11-26 0 5 0 0 0 0
"Having the Memory of an Elephant  Long-Term Retrieval and the Use of Analog...  EBSCOhost" "JEPG" 0 2004 2003-05-12 0 8 0 0 0 0
"He Said, She Said" "PS" 1 2003 2001-10-09 0 3 0 0 0 0
"Health, Wealth, and Happiness" "PS" 1 2005 NA NA 6 0 0 0 0
"Health-Engagement Control Strategies and 2-Year Changes in Older Adults' Physical Health" "PS" 1 2008 2007-07-30 0 2 0 0 0 0
"Hearing Cheats Touch, but Less in Congenitally Blind Than in Sighted Individuals" "PS" 1 2004 2002-10-22 0 8 0 0 0 0
"Hearing What the Eyes See" "PS" 1 2005 2004-02-18 0 12 0 0 0 0
"Heart Strings and Purse Strings" "PS" 1 2004 NA NA 11 0 0 0 0
"Hedonic and Instrumental Motives in Anger Regulation" "PS" 1 2008 2007-06-30 0 5 0 0 0 0
"Hedonic tone and activation level in the mood-creativity link  Toward a dua...  EBSCOhost" "JPSP" 0 2008 2007-02-09 0 41 4 2 9.76 4.88
"Helpful Only in the Abstract " "PS" 1 2009 2008-04-17 0 19 0 0 0 0
"Helping Parents to Motivate Adolescents in Mathematics and Science" "PS" 1 2012 2011-08-30 0 11 1 0 9.09 0
"Hemispheric Differences in the Recognition of Environmental Sounds" "PS" 1 2009 2008-04-18 0 8 1 0 12.5 0
"Here's Looking at Me  The Effect of Memory Perspective on Assessments of Pe...  EBSCOhost" "JPSP" 0 2005 2003-09-24 0 25 0 0 0 0
"Heterosocial Perceptual Organization" "PS" 1 2006 2005-07-15 0 15 0 0 0 0
"Hierarchical Encoding in Visual Working Memory" "PS" 1 2011 2010-05-21 0 4 2 0 50 0
"Hierarchical control and driving_ EBSCOhost" "JEPG" 0 2013 2013-06-17 0 12 0 0 0 0
"Hierarchical control of cognitive processes  Switching tasks in sequences  EBSCOhost" "JEPG" 0 2006 2005-05-24 0 32 0 0 0 0
"Hierarchical encoding of behavior  Translating perception into action  EBSCOhost" "JEPG" 0 2006 2005-05-24 0 23 9 0 39.13 0
"High Perceptual Load Makes Everybody Equal" "PS" 1 2007 2006-07-19 0 15 1 0 6.67 0
"Hippocampal Immediate Poststimulus Activity in the Encoding of Consecutive ...  EBSCOhost" "JEPG" 0 2013 2013-01-02 0 2 1 0 50 0
"History Matters" "PS" 1 2003 2001-10-24 0 6 0 0 0 0
"Holistic Processing Is Finely Tuned for Faces of One's Own Race" "PS" 1 2006 2005-02-14 0 6 0 0 0 0
"Holistic Processing Is Not Correlated With Face-Identification Accuracy" "PS" 1 2010 2008-03-10 0 8 1 0 12.5 0
"Holistic Processing Predicts Face Recognition" "PS" 1 2011 2010-09-03 0 4 0 0 0 0
"Holistic Processing of Faces in Preschool Children and Adults" "PS" 1 2003 2002-08-15 0 9 1 0 11.11 0
"Holistic person processing  Faces with bodies tell the whole story  EBSCOhost" "JPSP" 0 2012 2011-10-17 0 56 8 2 14.29 3.57
"Honesty Requires Time (and Lack of Justifications)" "PS" 1 2012 2012-01-01 0 10 0 0 0 0
"Hong Kong Chinese Kindergartners Learn to Read English Analytically" "PS" 1 2003 2001-12-12 0 16 0 0 0 0
"Hope Over Experience" "PS" 1 2011 2010-02-08 0 12 2 0 16.67 0
"Houses Built on Sand  Effects of Exemplar Stability on Susceptibility to At...  EBSCOhost" "JPSP" 0 2004 2003-03-28 0 42 2 2 4.76 4.76
"How Are Stereotypes Maintained Through Communication  The Influence of Ster...  EBSCOhost" "JPSP" 0 2003 2002-03-11 0 22 0 0 0 0
"How Are You Feeling  Revisiting the Quantification of Emotional Qualia" "PS" 1 2013 2012-04-09 0 10 3 0 30 0
"How Backward Masking Becomes Attentional Blink" "PS" 1 2005 NA NA 4 0 0 0 0
"How Bad Could It Be  Alcohol Dampens Stress Responses to Threat of Uncertain Intensity" "PS" 1 2013 2013-01-09 0 11 0 0 0 0
"How Can Dual-Task Working Memory Retention Limits Be Investigated " "PS" 1 2007 2006-07-03 0 2 0 0 0 0
"How Can I Connect With Thee " "PS" 1 2005 2004-08-20 0 1 0 0 0 0
"How Color Enhances Visual Memory for Natural Scenes" "PS" 1 2006 2005-02-24 0 4 0 0 0 0
"How Decision Reversibility Affects Motivation  EBSCOhost" "JEPG" 0 2013 2012-01-24 0 8 2 0 25 0
"How Do I Remember That I Know You Know That I Know " "PS" 1 2011 2011-02-28 0 17 1 0 5.88 0
"How Do People Value Life " "PS" 1 2010 2009-03-04 0 7 0 0 0 0
"How Do Speakers Resist Distraction " "PS" 1 2011 2010-10-08 0 4 0 0 0 0
"How Do You Learn to Walk  Thousands of Steps and Dozens of Falls per Day" "PS" 1 2012 2008-09-05 0 6 0 0 0 0
"How Does Stigma “Get Under the Skin” " "PS" 1 2009 2008-11-17 0 13 2 0 15.38 0
"How Dogs Navigate to Catch Frisbees" "PS" 1 2004 NA NA 2 0 0 0 0
"How Global Versus Local Perception Fits Regulatory Focus" "PS" 1 2005 2004-05-05 0 8 1 0 12.5 0
"How I Vote Depends on How I Feel" "PS" 1 2010 2009-06-01 0 1 0 0 0 0
"How Implicit Beliefs Influence Trust Recovery" "PS" 1 2010 2009-07-20 0 6 0 0 0 0
"How Important Is an Apology to You " "PS" 1 2011 2010-04-28 0 3 0 0 0 0
"How Incidental Values From the Environment Affect Decisions About Money, Risk, and Delay" "PS" 1 2011 2010-04-27 0 7 1 0 14.29 0
"How Longer Saccade Latencies Lead to a Competition for Salience" "PS" 1 2011 2010-10-18 0 2 0 0 0 0
"How Low Socioeconomic Status Affects 2-Year Hormonal Trajectories in Children" "PS" 1 2010 2008-09-29 0 5 0 0 0 0
"How Magic Changes Our Expectations About Autism" "PS" 1 2010 2009-10-06 0 14 2 0 14.29 0
"How Many Variables Can Humans Process " "PS" 1 2005 2003-11-25 0 5 0 0 0 0
"How Much Do Incidental Values Affect the Judgment of Time " "PS" 1 2012 2011-11-30 0 1 0 0 0 0
"How Much Memory Does Oculomotor Search Have " "PS" 1 2003 2002-05-20 0 5 0 0 0 0
"How Positive Emotions Build Physical Health" "PS" 1 2013 2012-07-16 0 3 0 0 0 0
"How Social Are Task Representations " "PS" 1 2009 2008-07-26 0 7 0 0 0 0
"How Spatial Frequencies and Visual Awareness Interact During Face Processing" "PS" 1 2010 2009-01-21 0 11 0 0 0 0
"How Subjective Grouping of Options Influences Choice and Allocation  Divers...  EBSCOhost" "JEPG" 0 2005 2005-01-24 0 7 0 0 0 0
"How Surveillance Begets Perceptions of Dishonesty  The Case of the Counterf...  EBSCOhost" "JPSP" 0 2005 2004-08-30 0 45 0 0 0 0
"How Visual Short-Term Memory Maintenance Modulates Subsequent Visual Aftereffects" "PS" 1 2013 2012-05-08 0 13 2 0 15.38 0
"How Writing System and Age Influence Spatial Representations of Actions" "PS" 1 2007 2003-11-24 0 8 0 0 0 0
"How choice affects and reflects preferences  Revisiting the free-choice par...  EBSCOhost" "JPSP" 0 2010 2009-04-10 0 7 0 0 0 0
"How chronic self-views influence (and mislead) self-assessments of task per...  EBSCOhost" "JPSP" 0 2009 2008-07-30 0 67 0 0 0 0
"How chronic self-views influence (and potentially mislead) estimates of per...  EBSCOhost" "JPSP" 0 2003 NA NA 31 2 0 6.45 0
"How communication goals determine when audience tuning biases memory  EBSCOhost" "JEPG" 0 2008 2006-06-02 0 94 13 1 13.83 1.06
"How decisions emerge  Action dynamics in intertemporal decision making  EBSCOhost" "JEPG" 0 2013 2011-09-16 0 10 0 0 0 0
"How do people adhere to goals when willpower is low  The profits (and pitfa...  EBSCOhost" "JPSP" 0 2013 2011-07-13 0 24 3 0 12.5 0
"How instructors’ emotional expressions shape students’ learning performance..._ EBSCOhost" "JEPG" 0 2013 2012-07-09 0 34 3 1 8.82 2.94
"How much like a target can a mask be  Geometric, spatial, and temporal simi...  EBSCOhost" "JEPG" 0 2006 2006-03-07 0 12 2 1 16.67 8.33
"How planful is routine behavior  A selective-attention model of performance...  EBSCOhost" "JEPG" 0 2010 2008-08-27 0 8 0 0 0 0
"How prevalent is wishful thinking  Misattribution of arousal causes optimis...  EBSCOhost" "JEPG" 0 2010 2008-06-18 0 36 2 0 5.56 0
"How to Accurately Detect Autobiographical Events" "PS" 1 2008 2007-07-16 0 15 1 0 6.67 0
"How to Be Proactive About Interference" "PS" 1 2012 2011-08-09 0 8 0 0 0 0
"How to Make the Word-Length Effect Disappear in Letter-by-Letter Dyslexia" "PS" 1 2005 2004-04-15 0 21 0 0 0 0
"How to Pass the False-Belief Task Before Your Fourth Birthday" "PS" 1 2013 2012-02-04 0 4 0 0 0 0
"Human Brain Activity Time-Locked to Narrative Event Boundaries" "PS" 1 2007 2006-03-17 0 5 3 2 60 40
"Human Visual Short-Term Memory Precision Can Be Varied at Will When the Number of Retained Items Is Low" "PS" 1 2012 2011-09-11 0 14 2 0 14.29 0
"Hungry for Money" "PS" 1 2006 2005-10-05 0 3 0 0 0 0
"Hurting You Hurts Me Too" "PS" 1 2013 2012-04-13 0 8 0 0 0 0
"Hyper-Binding" "PS" 1 2010 2008-10-17 0 18 0 0 0 0
"Hypnotic Disgust Makes Moral Judgments More Severe" "PS" 1 2005 2004-06-04 0 14 1 0 7.14 0
"Hypnotic Suggestion Modulates Cognitive Conflict" "PS" 1 2006 2004-11-03 0 1 0 0 0 0
"Hypothalamic-Pituitary-Adrenal Axis Reactivity in the Preschool-Age Offspring of Depressed Parents" "PS" 1 2011 2010-06-23 0 16 0 0 0 0
"I 5683 You" "PS" 1 2011 2010-06-16 0 9 1 0 11.11 0
"I Am Too Just Like You" "PS" 1 2008 2007-08-17 0 18 0 0 0 0
"I Can See, Hear, and Smell Your Fear  Comparing Olfactory and Audiovisual M...  EBSCOhost" "JEPG" 0 2013 2013-03-10 0 17 4 4 23.53 23.53
"I Feel Your Voice" "PS" 1 2010 2009-10-15 0 15 0 0 0 0
"I See Hear What You Mean  Semantic Activation in Visual Word Recognition De...  EBSCOhost" "JEPG" 0 2013 2013-05-03 0 3 3 1 100 33.33
"I Sell Seashells by the Seashore and My Name Is Jack  Comment on Pelham, Mi...  EBSCOhost" "JPSP" 0 2003 2002-06-06 0 5 1 0 20 0
"I Suppress, Therefore I Smoke" "PS" 1 2010 2009-09-25 0 5 1 0 20 0
"I Thought We Could Be Friends, but …" "PS" 1 2006 2005-03-10 0 10 0 0 0 0
"I Want to Help You, But I Am Not Sure Why  Gaze-Cuing Induces Altruistic Gi...  EBSCOhost" "JEPG" 0 2013 2013-01-24 0 23 4 0 17.39 0
"I want to be creative  Exploring the role of hedonic contingency theory in ...  EBSCOhost" "JPSP" 0 2008 2006-06-15 0 61 3 1 4.92 1.64
"I'm like you and you're like me  Social projection and self-stereotyping bo...  EBSCOhost" "JPSP" 0 2013 2011-04-01 0 13 1 0 7.69 0
"IQ on the Rise" "PS" 1 2003 2002-01-11 0 16 2 0 12.5 0
"Idealistic advice and pragmatic choice  A psychological distance account  EBSCOhost" "JPSP" 0 2012 2011-05-07 0 26 2 0 7.69 0
"Idealizing Parenthood to Rationalize Parental Investments" "PS" 1 2011 2010-07-13 0 11 1 0 9.09 0
"Identifying bottom-up and top-down components of attentional weight by expe...  EBSCOhost" "JEPG" 0 2013 2012-02-16 0 29 3 0 10.34 0
"Ideological asymmetry in the relationship between epistemic motivation and ...  EBSCOhost" "JPSP" 0 2012 2011-11-10 0 9 1 0 11.11 0
"Idleness Aversion and the Need for Justifiable Busyness" "PS" 1 2010 2009-05-23 0 8 0 0 0 0
"If It's Difficult to Pronounce, It Must Be Risky" "PS" 1 2009 2007-11-05 0 15 0 0 0 0
"If They Were to Vote, They Would Vote for Us" "PS" 1 2011 2011-03-02 0 5 0 0 0 0
"Ignorance of Hedonic Adaptation to Hemodialysis  A Study Using Ecological M...  EBSCOhost" "JEPG" 0 2005 2002-12-18 0 21 1 0 4.76 0
"Illegitimacy Moderates the Effects of Power on Approach" "PS" 1 2008 2007-04-27 0 1 1 0 100 0
"Illusory Conjunctions of Angry Facial Expressions Follow Intergroup Biases" "PS" 1 2010 2009-09-21 0 6 1 0 16.67 0
"Illusory Control" "PS" 1 2009 2008-05-14 0 31 3 0 9.68 0
"Imagination Can Create False Autobiographical Memories" "PS" 1 2003 2002-01-29 0 7 0 0 0 0
"Imitation Improves Language Comprehension" "PS" 1 2010 2010-04-26 0 4 1 0 25 0
"Immediacy bias in emotion perception  Current emotions seem more intense th...  EBSCOhost" "JEPG" 0 2009 2008-11-14 0 21 1 0 4.76 0
"Immediate Effect of Internal Reward on Visual Adaptation" "PS" 1 2013 2012-05-25 0 6 3 0 50 0
"Immediate priming and cognitive aftereffects  EBSCOhost" "JEPG" 0 2008 2007-01-11 0 27 5 2 18.52 7.41
"Immunizing Against Prejudice" "PS" 1 2011 2011-04-12 0 15 3 1 20 6.67
"Impairment in Holistic Face Processing Following Early Visual Deprivation" "PS" 1 2004 2003-09-17 0 20 1 0 5 0
"Implicational schemata and the correspondence bias  On the diagnostic value...  EBSCOhost" "JPSP" 0 2003 2001-04-23 0 69 3 0 4.35 0
"Implications of Infant Cognition for Executive Functions at Age 11" "PS" 1 2012 2011-09-05 0 4 0 0 0 0
"Implicit Memory, Age, and Time of Day" "PS" 1 2005 2004-01-21 0 3 0 0 0 0
"Implicit Prejudice Toward Injecting Drug Users Predicts Intentions to Change Jobs Among Drug and Alcohol Nurses" "PS" 1 2008 2007-05-13 0 1 0 0 0 0
"Implicit Proactive Interference, Age, and Automatic Versus Controlled Retrieval Strategies" "PS" 1 2008 2007-06-08 0 17 0 0 0 0
"Implicit Race Bias Decreases the Similarity of Neural Representations of Black and White Faces" "PS" 1 2013 2011-11-15 0 10 3 0 30 0
"Implicit ambivalence from attitude change  An exploration of the PAST model  EBSCOhost" "JPSP" 0 2006 2004-12-31 0 27 2 0 7.41 0
"Implicit and Explicit Processes in Category-Based Induction  Is Induction B...  EBSCOhost" "JEPG" 0 2013 2012-04-05 0 17 1 1 5.88 5.88
"Implicit misattribution as a mechanism underlying evaluative conditioning  EBSCOhost" "JPSP" 0 2009 2007-11-01 0 35 0 0 0 0
"Implicit misattribution of evaluative responses  Contingency-unaware evalua...  EBSCOhost" "JEPG" 0 2013 2012-06-27 0 19 2 0 10.53 0
"Implicit training of nonnative speech stimuli  EBSCOhost" "JEPG" 0 2012 2011-03-10 0 65 0 0 0 0
"Impressions of Milgram's obedient teachers  Situational cues inform inferen...  EBSCOhost" "JPSP" 0 2008 2007-09-08 0 70 1 0 1.43 0
"Improving Communication of Uncertainty in the Reports of the Intergovernmental Panel on Climate Change" "PS" 1 2009 2008-05-14 0 20 1 1 5 5
"Improving the past and the future  A temporal asymmetry in hypothetical thi...  EBSCOhost" "JEPG" 0 2013 2011-12-16 0 5 0 0 0 0
"Improving working memory efficiency by reframing metacognitive interpretati...  EBSCOhost" "JEPG" 0 2012 2011-08-06 0 23 2 0 8.7 0
"In Blind Pursuit of Racial Equality " "PS" 1 2010 2009-11-07 0 7 2 0 28.57 0
"In Defense of Parenthood" "PS" 1 2013 2011-11-23 0 14 0 0 0 0
"In Praise of Vagueness" "PS" 1 2011 2010-08-26 0 9 9 0 100 0
"In Search of the Silver Lining" "PS" 1 2010 2010-03-11 0 17 0 0 0 0
"In search of integrative processes  Basic psychological need satisfaction p...  EBSCOhost" "JEPG" 0 2013 2012-04-13 0 15 0 0 0 0
"In the Eye of the Beholder" "PS" 1 2013 2012-06-23 0 27 1 0 3.7 0
"In the Footsteps of Biological Motion and Multisensory Perception" "PS" 1 2008 2007-06-24 0 2 1 0 50 0
"In the Infant’s Mind’s Ear" "PS" 1 2010 2009-06-25 0 10 3 0 30 0
"In the Land of the Free, Interdependent Action Undermines Motivation" "PS" 1 2013 2011-01-11 0 14 1 0 7.14 0
"In the Mood for Adaptation" "PS" 1 2010 2010-02-10 0 10 0 0 0 0
"In the Trenches of Real-World Self-Control" "PS" 1 2011 2010-09-21 0 6 0 0 0 0
"Inattention Abolishes Binocular Rivalry" "PS" 1 2012 2011-09-09 0 9 0 0 0 0
"Incentivizing Wellness in the Workplace" "PS" 1 2013 2012-05-21 0 7 0 0 0 0
"Income Inequality and Happiness" "PS" 1 2011 2011-04-14 0 15 1 0 6.67 0
"Incorporating If...Then...Personality Signatures in Person Perception  Beyo...  EBSCOhost" "JPSP" 0 2005 2004-07-01 0 15 0 0 0 0
"Increased Control Demand Results in Serial Processing" "PS" 1 2005 2004-08-25 0 1 1 0 100 0
"Increasing Implicit Self-Esteem Through Classical Conditioning" "PS" 1 2004 NA NA 10 0 0 0 0
"Increasing Recognition of Happiness in Ambiguous Facial Expressions Reduces Anger and Aggressive Behavior" "PS" 1 2013 2012-03-06 0 11 1 0 9.09 0
"Increasing and decreasing motor and cognitive output  A model of general ac...  EBSCOhost" "JPSP" 0 2008 2006-03-19 0 12 2 0 16.67 0
"Increasing or decreasing interest in activities  The role of regulatory fit  EBSCOhost" "JPSP" 0 2010 2008-09-26 0 8 0 0 0 0
"Independence of Data-Driven and Conceptually Driven Priming" "PS" 1 2012 2010-06-15 0 1 0 0 0 0
"Independent Allocation of Attention to Eye and Hand Targets in Coordinated Eye-Hand Movements" "PS" 1 2011 2010-03-07 0 5 0 0 0 0
"Independent Effects of Adaptation and Attention on Perceived Speed" "PS" 1 2013 2012-01-21 0 15 1 0 6.67 0
"Independent Processing of Parts and of Their Spatial Organization in Complex Visual Objects" "PS" 1 2004 2003-07-10 0 10 0 0 0 0
